sector,category,activity_id,name,activity_unit,kgCO2e-AR5,kgCO2e-AR4,kgCO2,kgCH4,kgN2O,kgCO2e-OtherGHGs-AR5,kgCO2e-OtherGHGs-AR4,uncertainty,scope,lca_activity,source,year_released,years_valid,years_calculated_from,region,data_quality,contributor,date_accessed,description,source_link
Agriculture/Hunting/Forestry/Fishing,Agriculture/Hunting/Forestry/Fishing,agriculture_forestry_support-type_agriculture_forestry_support,Agriculture and forestry support,USD,,0.444,,,,,,,,cradle_to_shelf,EPA,2020,2020,,US,,Climatiq,2021/10/12,Emission intensity of supply chain (with margins i.e. cradle to shelf) in US dollars spend on: agriculture and forestry support. This factor is representative of the described commodity (equivalent to a goods or services category) and was calculated from 2016 data applying IPCC 4th Assessment Report conversion factors.,https://edg.epa.gov/metadata/catalog/search/resource/details.page?uuid=https://doi.org/10.23719/1517796
Agriculture/Hunting/Forestry/Fishing,Agriculture/Hunting/Forestry/Fishing,agriculture_fishing_forestry-type_agriculture_hunting_forestry_fishing,Agriculture hunting forestry and fishing,USD,not-supplied,2.09,not-supplied,not-supplied,not-supplied,not-supplied,not-supplied,,3,unknown,GHG Protocol,2017,2016-2022,2016,GLOBAL,,Climatiq,2021/10/12,Emission intensity of supply chain (purchase of service/standard good/capital good) in US dollars spend on: agriculture/hunting/forestry and fishing. Factors retrieved from the Quantis+GHG Protocol Scope 3 Calculator for the year 2016 and apply for years beyond 2016. The same emission factor applies to different types of investments in joint ventures/subsidiaries/associate companies that were not captured in Scope 1 emissions.,https://quantis-suite.com/Scope-3-Evaluator/
Agriculture/Hunting/Forestry/Fishing,Arable Farming,arable_farming-type_cereal_grains_not_elsewhere_specified,Cereal grains (not elsewhere specified),EUR,1.0252,1.076,not-supplied,not-supplied,not-supplied,not-supplied,not-supplied,,3,unknown,EXIOBASE,2021,2019-2021,2019,AT,,Climatiq,2022/03/17,Emission intensity of supply chain in EUR spend on: cereal grains (not specified in other EXIOBASE emission factors). Retrieved from the EXIOBASE v3 model outputs for products. These factors were calculated based on 2019 data. CO2 equivalent factors incorporate emissions from land use; constituent gases have not been included as they do not. The LCA boundaries of these factors are not defined by the source. These factors include effects of international trade.,https://zenodo.org/record/5589597#.Yh9_Zi8w1ao
Agriculture/Hunting/Forestry/Fishing,Arable Farming,arable_farming-type_cereal_grains_not_elsewhere_specified,Cereal grains (not elsewhere specified),EUR,0.8974,0.9676,not-supplied,not-supplied,not-supplied,not-supplied,not-supplied,,3,unknown,EXIOBASE,2021,2019-2021,2019,AU,,Climatiq,2022/03/17,Emission intensity of supply chain in EUR spend on: cereal grains (not specified in other EXIOBASE emission factors). Retrieved from the EXIOBASE v3 model outputs for products. These factors were calculated based on 2019 data. CO2 equivalent factors incorporate emissions from land use; constituent gases have not been included as they do not. The LCA boundaries of these factors are not defined by the source. These factors include effects of international trade.,https://zenodo.org/record/5589597#.Yh9_Zi8w1ao
Agriculture/Hunting/Forestry/Fishing,Arable Farming,arable_farming-type_cereal_grains_not_elsewhere_specified,Cereal grains (not elsewhere specified),EUR,2.573,2.7569,not-supplied,not-supplied,not-supplied,not-supplied,not-supplied,,3,unknown,EXIOBASE,2021,2019-2021,2019,BE,,Climatiq,2022/03/17,Emission intensity of supply chain in EUR spend on: cereal grains (not specified in other EXIOBASE emission factors). Retrieved from the EXIOBASE v3 model outputs for products. These factors were calculated based on 2019 data. CO2 equivalent factors incorporate emissions from land use; constituent gases have not been included as they do not. The LCA boundaries of these factors are not defined by the source. These factors include effects of international trade.,https://zenodo.org/record/5589597#.Yh9_Zi8w1ao
Agriculture/Hunting/Forestry/Fishing,Arable Farming,arable_farming-type_cereal_grains_not_elsewhere_specified,Cereal grains (not elsewhere specified),EUR,1.888,2.01,not-supplied,not-supplied,not-supplied,not-supplied,not-supplied,,3,unknown,EXIOBASE,2021,2019-2021,2019,BG,,Climatiq,2022/03/17,Emission intensity of supply chain in EUR spend on: cereal grains (not specified in other EXIOBASE emission factors). Retrieved from the EXIOBASE v3 model outputs for products. These factors were calculated based on 2019 data. CO2 equivalent factors incorporate emissions from land use; constituent gases have not been included as they do not. The LCA boundaries of these factors are not defined by the source. These factors include effects of international trade.,https://zenodo.org/record/5589597#.Yh9_Zi8w1ao
Agriculture/Hunting/Forestry/Fishing,Arable Farming,arable_farming-type_cereal_grains_not_elsewhere_specified,Cereal grains (not elsewhere specified),EUR,2.9749,2.9204,not-supplied,not-supplied,not-supplied,not-supplied,not-supplied,,3,unknown,EXIOBASE,2021,2019-2021,2019,BR,,Climatiq,2022/03/17,Emission intensity of supply chain in EUR spend on: cereal grains (not specified in other EXIOBASE emission factors). Retrieved from the EXIOBASE v3 model outputs for products. These factors were calculated based on 2019 data. CO2 equivalent factors incorporate emissions from land use; constituent gases have not been included as they do not. The LCA boundaries of these factors are not defined by the source. These factors include effects of international trade.,https://zenodo.org/record/5589597#.Yh9_Zi8w1ao
Agriculture/Hunting/Forestry/Fishing,Arable Farming,arable_farming-type_cereal_grains_not_elsewhere_specified,Cereal grains (not elsewhere specified),EUR,1.507,1.5611,not-supplied,not-supplied,not-supplied,not-supplied,not-supplied,,3,unknown,EXIOBASE,2021,2019-2021,2019,CA,,Climatiq,2022/03/17,Emission intensity of supply chain in EUR spend on: cereal grains (not specified in other EXIOBASE emission factors). Retrieved from the EXIOBASE v3 model outputs for products. These factors were calculated based on 2019 data. CO2 equivalent factors incorporate emissions from land use; constituent gases have not been included as they do not. The LCA boundaries of these factors are not defined by the source. These factors include effects of international trade.,https://zenodo.org/record/5589597#.Yh9_Zi8w1ao
Agriculture/Hunting/Forestry/Fishing,Arable Farming,arable_farming-type_cereal_grains_not_elsewhere_specified,Cereal grains (not elsewhere specified),EUR,1.1442,1.2018,not-supplied,not-supplied,not-supplied,not-supplied,not-supplied,,3,unknown,EXIOBASE,2021,2019-2021,2019,CH,,Climatiq,2022/03/17,Emission intensity of supply chain in EUR spend on: cereal grains (not specified in other EXIOBASE emission factors). Retrieved from the EXIOBASE v3 model outputs for products. These factors were calculated based on 2019 data. CO2 equivalent factors incorporate emissions from land use; constituent gases have not been included as they do not. The LCA boundaries of these factors are not defined by the source. These factors include effects of international trade.,https://zenodo.org/record/5589597#.Yh9_Zi8w1ao
Agriculture/Hunting/Forestry/Fishing,Arable Farming,arable_farming-type_cereal_grains_not_elsewhere_specified,Cereal grains (not elsewhere specified),EUR,1.4677,1.5149,not-supplied,not-supplied,not-supplied,not-supplied,not-supplied,,3,unknown,EXIOBASE,2021,2019-2021,2019,CN,,Climatiq,2022/03/17,Emission intensity of supply chain in EUR spend on: cereal grains (not specified in other EXIOBASE emission factors). Retrieved from the EXIOBASE v3 model outputs for products. These factors were calculated based on 2019 data. CO2 equivalent factors incorporate emissions from land use; constituent gases have not been included as they do not. The LCA boundaries of these factors are not defined by the source. These factors include effects of international trade.,https://zenodo.org/record/5589597#.Yh9_Zi8w1ao
Agriculture/Hunting/Forestry/Fishing,Arable Farming,arable_farming-type_cereal_grains_not_elsewhere_specified,Cereal grains (not elsewhere specified),EUR,3.8153,4.0976,not-supplied,not-supplied,not-supplied,not-supplied,not-supplied,,3,unknown,EXIOBASE,2021,2019-2021,2019,CY,,Climatiq,2022/03/17,Emission intensity of supply chain in EUR spend on: cereal grains (not specified in other EXIOBASE emission factors). Retrieved from the EXIOBASE v3 model outputs for products. These factors were calculated based on 2019 data. CO2 equivalent factors incorporate emissions from land use; constituent gases have not been included as they do not. The LCA boundaries of these factors are not defined by the source. These factors include effects of international trade.,https://zenodo.org/record/5589597#.Yh9_Zi8w1ao
Agriculture/Hunting/Forestry/Fishing,Arable Farming,arable_farming-type_cereal_grains_not_elsewhere_specified,Cereal grains (not elsewhere specified),EUR,1.125,1.1706,not-supplied,not-supplied,not-supplied,not-supplied,not-supplied,,3,unknown,EXIOBASE,2021,2019-2021,2019,CZ,,Climatiq,2022/03/17,Emission intensity of supply chain in EUR spend on: cereal grains (not specified in other EXIOBASE emission factors). Retrieved from the EXIOBASE v3 model outputs for products. These factors were calculated based on 2019 data. CO2 equivalent factors incorporate emissions from land use; constituent gases have not been included as they do not. The LCA boundaries of these factors are not defined by the source. These factors include effects of international trade.,https://zenodo.org/record/5589597#.Yh9_Zi8w1ao
Agriculture/Hunting/Forestry/Fishing,Arable Farming,arable_farming-type_cereal_grains_not_elsewhere_specified,Cereal grains (not elsewhere specified),EUR,1.0928,1.1744,not-supplied,not-supplied,not-supplied,not-supplied,not-supplied,,3,unknown,EXIOBASE,2021,2019-2021,2019,DE,,Climatiq,2022/03/02,Emission intensity of supply chain in EUR spend on: cereal grains (not specified in other EXIOBASE emission factors). Retrieved from the EXIOBASE v3 model outputs for products. These factors were calculated based on 2019 data. CO2 equivalent factors incorporate emissions from land use; constituent gases have not been included as they do not. The LCA boundaries of these factors are not defined by the source. These factors include effects of international trade.,https://zenodo.org/record/5589597#.Yh9_Zi8w1ao
Agriculture/Hunting/Forestry/Fishing,Arable Farming,arable_farming-type_cereal_grains_not_elsewhere_specified,Cereal grains (not elsewhere specified),EUR,1.0645,1.1122,not-supplied,not-supplied,not-supplied,not-supplied,not-supplied,,3,unknown,EXIOBASE,2021,2019-2021,2019,DK,,Climatiq,2022/03/17,Emission intensity of supply chain in EUR spend on: cereal grains (not specified in other EXIOBASE emission factors). Retrieved from the EXIOBASE v3 model outputs for products. These factors were calculated based on 2019 data. CO2 equivalent factors incorporate emissions from land use; constituent gases have not been included as they do not. The LCA boundaries of these factors are not defined by the source. These factors include effects of international trade.,https://zenodo.org/record/5589597#.Yh9_Zi8w1ao
Agriculture/Hunting/Forestry/Fishing,Arable Farming,arable_farming-type_cereal_grains_not_elsewhere_specified,Cereal grains (not elsewhere specified),EUR,2.0047,2.1608,not-supplied,not-supplied,not-supplied,not-supplied,not-supplied,,3,unknown,EXIOBASE,2021,2019-2021,2019,EE,,Climatiq,2022/03/17,Emission intensity of supply chain in EUR spend on: cereal grains (not specified in other EXIOBASE emission factors). Retrieved from the EXIOBASE v3 model outputs for products. These factors were calculated based on 2019 data. CO2 equivalent factors incorporate emissions from land use; constituent gases have not been included as they do not. The LCA boundaries of these factors are not defined by the source. These factors include effects of international trade.,https://zenodo.org/record/5589597#.Yh9_Zi8w1ao
Agriculture/Hunting/Forestry/Fishing,Arable Farming,arable_farming-type_cereal_grains_not_elsewhere_specified,Cereal grains (not elsewhere specified),EUR,1.4566,1.5972,not-supplied,not-supplied,not-supplied,not-supplied,not-supplied,,3,unknown,EXIOBASE,2021,2019-2021,2019,GB,,Climatiq,2022/03/17,Emission intensity of supply chain in EUR spend on: cereal grains (not specified in other EXIOBASE emission factors). Retrieved from the EXIOBASE v3 model outputs for products. These factors were calculated based on 2019 data. CO2 equivalent factors incorporate emissions from land use; constituent gases have not been included as they do not. The LCA boundaries of these factors are not defined by the source. These factors include effects of international trade.,https://zenodo.org/record/5589597#.Yh9_Zi8w1ao
Agriculture/Hunting/Forestry/Fishing,Arable Farming,arable_farming-type_cereal_grains_not_elsewhere_specified,Cereal grains (not elsewhere specified),EUR,1.4054,1.5192,not-supplied,not-supplied,not-supplied,not-supplied,not-supplied,,3,unknown,EXIOBASE,2021,2019-2021,2019,NO,,Climatiq,2022/03/17,Emission intensity of supply chain in EUR spend on: cereal grains (not specified in other EXIOBASE emission factors). Retrieved from the EXIOBASE v3 model outputs for products. These factors were calculated based on 2019 data. CO2 equivalent factors incorporate emissions from land use; constituent gases have not been included as they do not. The LCA boundaries of these factors are not defined by the source. These factors include effects of international trade.,https://zenodo.org/record/5589597#.Yh9_Zi8w1ao
Agriculture/Hunting/Forestry/Fishing,Arable Farming,arable_farming-type_cereal_grains_not_elsewhere_specified,Cereal grains (not elsewhere specified),EUR,1.1552,1.2567,not-supplied,not-supplied,not-supplied,not-supplied,not-supplied,,3,unknown,EXIOBASE,2021,2019-2021,2019,US,,Climatiq,2022/03/17,Emission intensity of supply chain in EUR spend on: cereal grains (not specified in other EXIOBASE emission factors). Retrieved from the EXIOBASE v3 model outputs for products. These factors were calculated based on 2019 data. CO2 equivalent factors incorporate emissions from land use; constituent gases have not been included as they do not. The LCA boundaries of these factors are not defined by the source. These factors include effects of international trade.,https://zenodo.org/record/5589597#.Yh9_Zi8w1ao
Agriculture/Hunting/Forestry/Fishing,Arable Farming,arable_farming-type_crops_not_elsewhere_specified,Crops (not elsewhere specified),EUR,1.2401,1.2491,not-supplied,not-supplied,not-supplied,not-supplied,not-supplied,,3,unknown,EXIOBASE,2021,2019-2021,2019,AT,,Climatiq,2022/03/17,Emission intensity of supply chain in EUR spend on: crops (not specified in other EXIOBASE emission factors). Retrieved from the EXIOBASE v3 model outputs for products. These factors were calculated based on 2019 data. CO2 equivalent factors incorporate emissions from land use; constituent gases have not been included as they do not. The LCA boundaries of these factors are not defined by the source. These factors include effects of international trade.,https://zenodo.org/record/5589597#.Yh9_Zi8w1ao
Agriculture/Hunting/Forestry/Fishing,Arable Farming,arable_farming-type_crops_not_elsewhere_specified,Crops (not elsewhere specified),EUR,0.3978,0.3881,not-supplied,not-supplied,not-supplied,not-supplied,not-supplied,,3,unknown,EXIOBASE,2021,2019-2021,2019,AU,,Climatiq,2022/03/17,Emission intensity of supply chain in EUR spend on: crops (not specified in other EXIOBASE emission factors). Retrieved from the EXIOBASE v3 model outputs for products. These factors were calculated based on 2019 data. CO2 equivalent factors incorporate emissions from land use; constituent gases have not been included as they do not. The LCA boundaries of these factors are not defined by the source. These factors include effects of international trade.,https://zenodo.org/record/5589597#.Yh9_Zi8w1ao
